No.;Player;Age;Pos;G;GS;Wt;Ht;College/Univ;BirthDate;Yrs;AV;Drafted (tm/rnd/yr)
4;Kiondre Thomas;;CB;;;186;6-0;Kansas State;02/07/1998;Rook;;
8;Brian Allen;28;CB;;;215;6-3;Utah;10/21/1993;4;;Pittsburgh Steelers / 5th / 173rd pick / 2017
21;Denzel Ward;24;CB;;;190;5-11;Ohio St.;4/28/1997;3;;Cleveland Browns / 1st / 4th pick / 2018
23;Troy Hill;30;CB;;;183;5-11;Oregon;8/29/1991;6;;
26;Greedy Williams;24;CB;;;185;6-2;LSU;12/03/1997;2;;Cleveland Browns / 2nd / 46th pick / 2019
34;Robert Jackson;28;CB;;;207;6-2;UNLV;12/08/1993;3;;
36;M.J. Stewart;26;CB;;;200;5-11;North Carolina;9/16/1995;3;;Tampa Bay Buccaneers / 2nd / 53rd pick / 2018
37;Emmanuel Rugamba;;CB;;;194;5-11;Miami (OH);03/10/1998;Rook;;
41;Montrel Meander;27;CB;;;215;6-2;Grambling St.;9/20/1994;1;;
20;Greg Newsome II;21;CB;;;180;6-1;Northwestern;;;;Cleveland Browns / 1th / 26th pick / 2021
38;A.J. Green;23;CB;;;185;6-1;Oklahoma St.;06/09/1998;1;;
57;Romeo McKnight;;DE;;;260;6-5;Illinois State;3/25/1998;Rook;;
61;Damion Square;32;DE;;;293;6-2;Alabama;02/06/1989;8;;
69;Cameron Malveaux;27;DE;;;265;6-5;Houston;9/22/1994;4;;
90;Jadeveon Clowney;28;DE;;;255;6-5;South Carolina;2/14/1993;7;;Houston Texans / 1st / 1st pick / 2014
95;Myles Garrett;26;DE;;;272;6-4;Texas A&M;12/29/1995;4;;Cleveland Browns / 1st / 1st pick / 2017
91;Joe Jackson;25;DE;;;258;6-5;Miami (FL);12/20/1996;2;;Dallas Cowboys / 5th / 165th pick / 2019
96;Jordan Elliott;24;DT;;;302;6-4;Missouri;11/23/1997;1;;Cleveland Browns / 3rd / 88th pick / 2020
58;Malik McDowell;;DT;;;299;6-6;Michigan State;6/20/1996;Rook;;
65;Marvin Wilson;;DT;;;303;6-4;Florida State;;Rook;;
92;Sheldon Day;27;DT;;;294;6-1;Notre Dame;07/01/1994;5;;Jacksonville Jaguars / 4th / 103rd pick / 2016
93;Tommy Togiai;22;DT;;;300;6-2;Ohio St.;9/19/1999;Rook;;Cleveland Browns / 4th / 132nd pick / 2021
97;Malik Jackson;31;DT;;;290;6-5;Tennessee;01/11/1990;9;;Denver Broncos / 5th / 137th pick / 2012
99;Andrew Billings;26;DT;;;328;6-1;Baylor;03/06/1995;4;;Cincinnati Bengals / 4th / 122nd pick / 2016
31;Andy Janovich;28;FB;;;238;6-1;Nebraska;5/23/1993;5;;Denver Broncos / 6th / 176th pick / 2016
40;Johnny Stanton;27;FB;;;250;6-2;UNLV;09/07/1994;3;;
35;Jovante Moffatt;25;FS;;;210;6-0;Middle Tenn. St.;12/25/1996;1;;
48;Elijah Benton;25;FS;;;205;6-1;Liberty;09/05/1996;1;;
22;Grant Delpit;23;FS;;;213;6-2;LSU;9/20/1998;Rook;;Cleveland Browns / 2nd / 44th pick / 2020
29;Sheldrick Redwine;25;FS;;;196;6-0;Miami (FL);11/06/1996;2;;Cleveland Browns / 4th / 119th pick / 2019
43;John Johnson;26;FS;;;209;6-0;Boston Col.;12/19/1995;4;;Los Angeles Rams / 3rd / 91st pick / 2017
2;Cody Parkey;29;K;;;190;6-0;Auburn;2/19/1992;7;;
3;Chase McLaughlin;25;K;;;187;5-11;Illinois;04/09/1996;2;;
28;Jeremiah Owusu-Koramoah;22;LB;;;215;6-1;Notre Dame;;;;Cleveland Browns / 2th / 52th pick / 2021
42;Tony Fields;;LB;;;220;6-1;West Virginia;;Rook;;Cleveland Browns / 5th / 153rd pick / 2021
44;Sione Takitaki;26;LB;;;238;6-1;BYU;06/08/1995;2;;Cleveland Browns / 3rd / 80th pick / 2019
50;Jacob Phillips;22;LB;;;229;6-3;LSU;04/01/1999;1;;Cleveland Browns / 3rd / 97th pick / 2020
51;Mack Wilson;23;LB;;;240;6-1;Alabama;2/14/1998;2;;Cleveland Browns / 5th / 155th pick / 2019
59;Curtis Weaver;23;LB;;;265;6-2;Boise St.;08/03/1998;Rook;;Miami Dolphins / 5th / 164th pick / 2020
94;Porter Gustin;24;LB;;;260;6-5;USC;02/08/1997;2;;
54;Anthony Walker;26;LB;;;230;6-1;Northwestern;08/08/1995;4;;Indianapolis Colts / 5th / 161st pick / 2017
56;Malcolm Smith;32;LB;;;225;6-0;USC;07/05/1989;10;;Seattle Seahawks / 7th / 242nd pick / 2011
52;Elijah Lee;25;LB;;;229;6-2;Kansas St.;02/08/1996;4;;Minnesota Vikings / 7th / 232nd pick / 2017
55;Takkarist McKinley;26;LB;;;265;6-2;UCLA;11/02/1995;4;;Atlanta Falcons / 1st / 26th pick / 2017
47;Charley Hughlett;31;LS;;;248;6-4;Central Florida;5/16/1990;7;;
67;Cordel Iwuagwu;25;OL;;;311;6-3;Texas Christian;09/04/1996;Rook;;
72;Colby Gossett;26;OL;;;331;6-5;Appalachian St.;6/23/1995;3;;Minnesota Vikings / 6th / 213th pick / 2018
74;Chris Hubbard;30;OL;;;295;6-4;Ala-Birmingham;4/23/1991;8;;
75;Joel Bitonio;30;OL;;;320;6-4;Nevada;10/11/1991;7;;Cleveland Browns / 2nd / 35th pick / 2014
64;J.C. Tretter;30;OL;;;307;6-4;Cornell;02/12/1991;8;;Green Bay Packers / 4th / 122nd pick / 2013
77;Wyatt Teller;27;OL;;;314;6-4;Virginia Tech;11/21/1994;3;;Buffalo Bills / 5th / 166th pick / 2018
53;Nick Harris;23;OL;;;302;6-1;Washington;11/13/1998;1;;Cleveland Browns / 5th / 160th pick / 2020
63;Javon Patterson;24;OL;;;307;6-3;Mississippi;07/08/1997;1;;Indianapolis Colts / 7th / 246th pick / 2019
71;Jedrick Wills Jr.;22;OL;;;312;6-4;Alabama;5/17/1999;1;;Cleveland Browns / 1st / 10th pick / 2020
70;Greg Senat;27;OL;;;305;6-6;Wagner;09/08/1994;3;;Baltimore Ravens / 6th / 212th pick / 2018
78;Jack Conklin;27;OL;;;308;6-6;Michigan St.;8/17/1994;5;;Tennessee Titans / 1st / 8th pick / 2016
79;Drew Forbes;24;OL;;;305;6-5;SE Missouri St.;1/18/1997;2;;Cleveland Browns / 6th / 189th pick / 2019
60;Alex Taylor;24;OL;;;294;6-9;South Carolina St.;4/29/1997;1;;
62;Blake Hance;25;OL;;;310;6-5;Northwestern;01/11/1996;Rook;;
66;James Hudson;22;OL;;;310;6-5;Cincinnati;5/13/1999;Rook;;Cleveland Browns / 4th / 110th pick / 2021
68;Michael Dunn;27;OL;;;307;6-5;Maryland;8/28/1994;1;;
7;Jamie Gillan;24;P;;;207;6-1;Ark-Pine Bluff;07/04/1997;2;;
5;Case Keenum;33;QB;;;215;6-1;Houston;2/17/1988;9;;
6;Baker Mayfield;26;QB;;;215;6-1;Oklahoma;4/14/1995;3;;Cleveland Browns / 1st / 1st pick / 2018
17;Kyle Lauletta;26;QB;;;222;6-2;Richmond;3/17/1995;3;;New York Giants / 4th / 108th pick / 2018
1;Tre Harbison;;RB;;;215;5-11;Charlotte;;Rook;;
24;Nick Chubb;26;RB;;;227;5-11;Georgia;12/27/1995;3;;Cleveland Browns / 2nd / 35th pick / 2018
25;Demetric Felton;23;RB;;;186;5-9;UCLA;7/16/1998;Rook;;Cleveland Browns / 6th / 211th pick / 2021
27;Kareem Hunt;26;RB;;;216;5-11;Toledo;08/06/1995;4;;Kansas City Chiefs / 3rd / 86th pick / 2017
30;D'Ernest Johnson;25;RB;;;208;5-10;South Florida;2/27/1996;2;;
49;John Kelly;25;RB;;;205;5-10;Tennessee;10/04/1996;3;;Los Angeles Rams / 6th / 176th pick / 2018
39;Richard LeCounte;23;SS;;;190;5-11;Georgia;09/11/1998;Rook;;Cleveland Browns / 5th / 169th pick / 2021
33;Ronnie Harrison;24;SS;;;214;6-3;Alabama;4/18/1997;3;;Jacksonville Jaguars / 3rd / 93rd pick / 2018
87;Jordan Franks;25;TE;;;240;6-4;Central Florida;02/01/1996;3;;
81;Austin Hooper;27;TE;;;254;6-4;Stanford;10/29/1994;5;;Atlanta Falcons / 3rd / 81st pick / 2016
85;David Njoku;25;TE;;;246;6-4;Miami (FL);07/10/1996;4;;Cleveland Browns / 1st / 29th pick / 2017
86;Connor Davis;27;TE;;;260;6-8;Stony Brook;10/20/1994;Rook;;
88;Harrison Bryant;23;TE;;;243;6-5;Florida Atlantic;4/23/1998;1;;Cleveland Browns / 4th / 115th pick / 2020
89;Stephen Carlson;25;TE;;;240;6-4;Princeton;12/12/1996;2;;
10;Anthony Schwartz;21;WR;;;179;6-0;Auburn;;;;Cleveland Browns / 3th / 91th pick / 2021
11;Donovan Peoples-Jones;22;WR;;;212;6-2;Michigan;2/19/1999;1;;Cleveland Browns / 6th / 187th pick / 2020
12;KhaDarel Hodge;26;WR;;;205;6-2;Prairie View A&M;01/03/1995;3;;
13;Odell Beckham Jr.;29;WR;;;198;5-11;LSU;11/05/1992;7;;New York Giants / 1st / 12th pick / 2014
15;Ryan Switzer;27;WR;;;185;5-8;North Carolina;11/04/1994;4;;Dallas Cowboys / 4th / 133rd pick / 2017
16;Derrick Willies;27;WR;;;207;6-4;Texas Tech;10/12/1994;3;;
19;Jojo Natson;27;WR;;;153;5-7;Akron;02/01/1994;4;;
80;Jarvis Landry;29;WR;;;196;5-11;LSU;11/28/1992;7;;Miami Dolphins / 2nd / 63rd pick / 2014
82;Rashard Higgins;27;WR;;;198;6-1;Colorado St.;10/07/1994;5;;Cleveland Browns / 5th / 172nd pick / 2016
83;Alexander Hollins;25;WR;;;166;6-1;Eastern Illinois;11/24/1996;2;;
84;Ja'Marcus Bradley;25;WR;;;195;6-1;Louisiana;12/11/1996;1;;
